"curveId","설명","semantic","interpolation","evidenceGrade","hours","value","basis"
"RCV_FUNC_VERY_LIGHT","매우 낮은 기능피로","UNRESOLVED_FUNCTIONAL_DEFICIT","PCHIP_MONOTONE","CLASS_PROXY","0","1","짧은 저강도 기술·가동성·보조운동의 빠른 기능 회복 prior."
"RCV_FUNC_VERY_LIGHT","매우 낮은 기능피로","UNRESOLVED_FUNCTIONAL_DEFICIT","PCHIP_MONOTONE","CLASS_PROXY","2","0.35","짧은 저강도 기술·가동성·보조운동의 빠른 기능 회복 prior."
"RCV_FUNC_VERY_LIGHT","매우 낮은 기능피로","UNRESOLVED_FUNCTIONAL_DEFICIT","PCHIP_MONOTONE","CLASS_PROXY","6","0.1","짧은 저강도 기술·가동성·보조운동의 빠른 기능 회복 prior."
"RCV_FUNC_VERY_LIGHT","매우 낮은 기능피로","UNRESOLVED_FUNCTIONAL_DEFICIT","PCHIP_MONOTONE","CLASS_PROXY","12","0.02","짧은 저강도 기술·가동성·보조운동의 빠른 기능 회복 prior."
"RCV_FUNC_VERY_LIGHT","매우 낮은 기능피로","UNRESOLVED_FUNCTIONAL_DEFICIT","PCHIP_MONOTONE","CLASS_PROXY","24","0","짧은 저강도 기술·가동성·보조운동의 빠른 기능 회복 prior."
"RCV_FUNC_LOCAL_CONTROLLED","국소 통제 근력","UNRESOLVED_FUNCTIONAL_DEFICIT","PCHIP_MONOTONE","DIRECT_PLUS_PROXY","0","1","비실패 국소 저항운동은 빠르게 회복하되 큰 볼륨·실패 시 상향."
"RCV_FUNC_LOCAL_CONTROLLED","국소 통제 근력","UNRESOLVED_FUNCTIONAL_DEFICIT","PCHIP_MONOTONE","DIRECT_PLUS_PROXY","6","0.32","비실패 국소 저항운동은 빠르게 회복하되 큰 볼륨·실패 시 상향."
"RCV_FUNC_LOCAL_CONTROLLED","국소 통제 근력","UNRESOLVED_FUNCTIONAL_DEFICIT","PCHIP_MONOTONE","DIRECT_PLUS_PROXY","12","0.16","비실패 국소 저항운동은 빠르게 회복하되 큰 볼륨·실패 시 상향."
"RCV_FUNC_LOCAL_CONTROLLED","국소 통제 근력","UNRESOLVED_FUNCTIONAL_DEFICIT","PCHIP_MONOTONE","DIRECT_PLUS_PROXY","24","0.04","비실패 국소 저항운동은 빠르게 회복하되 큰 볼륨·실패 시 상향."
"RCV_FUNC_LOCAL_CONTROLLED","국소 통제 근력","UNRESOLVED_FUNCTIONAL_DEFICIT","PCHIP_MONOTONE","DIRECT_PLUS_PROXY","48","0","비실패 국소 저항운동은 빠르게 회복하되 큰 볼륨·실패 시 상향."
"RCV_FUNC_COMPOUND_MODERATE","복합 근력·중간 피로","UNRESOLVED_FUNCTIONAL_DEFICIT","PCHIP_MONOTONE","DIRECT_PLUS_MODEL","0","1","고중량 복합근력의 24–72시간 회복 연구를 중앙 prior로 정규화."
"RCV_FUNC_COMPOUND_MODERATE","복합 근력·중간 피로","UNRESOLVED_FUNCTIONAL_DEFICIT","PCHIP_MONOTONE","DIRECT_PLUS_MODEL","6","0.62","고중량 복합근력의 24–72시간 회복 연구를 중앙 prior로 정규화."
"RCV_FUNC_COMPOUND_MODERATE","복합 근력·중간 피로","UNRESOLVED_FUNCTIONAL_DEFICIT","PCHIP_MONOTONE","DIRECT_PLUS_MODEL","24","0.34","고중량 복합근력의 24–72시간 회복 연구를 중앙 prior로 정규화."
"RCV_FUNC_COMPOUND_MODERATE","복합 근력·중간 피로","UNRESOLVED_FUNCTIONAL_DEFICIT","PCHIP_MONOTONE","DIRECT_PLUS_MODEL","48","0.1","고중량 복합근력의 24–72시간 회복 연구를 중앙 prior로 정규화."
"RCV_FUNC_COMPOUND_MODERATE","복합 근력·중간 피로","UNRESOLVED_FUNCTIONAL_DEFICIT","PCHIP_MONOTONE","DIRECT_PLUS_MODEL","72","0.02","고중량 복합근력의 24–72시간 회복 연구를 중앙 prior로 정규화."
"RCV_FUNC_COMPOUND_MODERATE","복합 근력·중간 피로","UNRESOLVED_FUNCTIONAL_DEFICIT","PCHIP_MONOTONE","DIRECT_PLUS_MODEL","84","0","고중량 복합근력의 24–72시간 회복 연구를 중앙 prior로 정규화."
"RCV_FUNC_HIGH_FAILURE","실패·큰 속도손실 근력","UNRESOLVED_FUNCTIONAL_DEFICIT","PCHIP_MONOTONE","DIRECT_PLUS_MODEL","0","1","실패지점 및 큰 velocity-loss가 회복을 지연한다는 직접 인간 근거."
"RCV_FUNC_HIGH_FAILURE","실패·큰 속도손실 근력","UNRESOLVED_FUNCTIONAL_DEFICIT","PCHIP_MONOTONE","DIRECT_PLUS_MODEL","6","0.72","실패지점 및 큰 velocity-loss가 회복을 지연한다는 직접 인간 근거."
"RCV_FUNC_HIGH_FAILURE","실패·큰 속도손실 근력","UNRESOLVED_FUNCTIONAL_DEFICIT","PCHIP_MONOTONE","DIRECT_PLUS_MODEL","24","0.45","실패지점 및 큰 velocity-loss가 회복을 지연한다는 직접 인간 근거."
"RCV_FUNC_HIGH_FAILURE","실패·큰 속도손실 근력","UNRESOLVED_FUNCTIONAL_DEFICIT","PCHIP_MONOTONE","DIRECT_PLUS_MODEL","48","0.2","실패지점 및 큰 velocity-loss가 회복을 지연한다는 직접 인간 근거."
"RCV_FUNC_HIGH_FAILURE","실패·큰 속도손실 근력","UNRESOLVED_FUNCTIONAL_DEFICIT","PCHIP_MONOTONE","DIRECT_PLUS_MODEL","72","0.06","실패지점 및 큰 velocity-loss가 회복을 지연한다는 직접 인간 근거."
"RCV_FUNC_HIGH_FAILURE","실패·큰 속도손실 근력","UNRESOLVED_FUNCTIONAL_DEFICIT","PCHIP_MONOTONE","DIRECT_PLUS_MODEL","96","0","실패지점 및 큰 velocity-loss가 회복을 지연한다는 직접 인간 근거."
"RCV_FUNC_ECCENTRIC_DELAYED","신규·고편심 지연성 기능저하","UNRESOLVED_FUNCTIONAL_DEFICIT","PCHIP_SHAPE_PRESERVING","DIRECT_PLUS_MODEL","0","0.72","편심 운동은 즉시보다 24시간 전후 저하가 커질 수 있어 비단조 커널 사용."
"RCV_FUNC_ECCENTRIC_DELAYED","신규·고편심 지연성 기능저하","UNRESOLVED_FUNCTIONAL_DEFICIT","PCHIP_SHAPE_PRESERVING","DIRECT_PLUS_MODEL","6","0.82","편심 운동은 즉시보다 24시간 전후 저하가 커질 수 있어 비단조 커널 사용."
"RCV_FUNC_ECCENTRIC_DELAYED","신규·고편심 지연성 기능저하","UNRESOLVED_FUNCTIONAL_DEFICIT","PCHIP_SHAPE_PRESERVING","DIRECT_PLUS_MODEL","24","1","편심 운동은 즉시보다 24시간 전후 저하가 커질 수 있어 비단조 커널 사용."
"RCV_FUNC_ECCENTRIC_DELAYED","신규·고편심 지연성 기능저하","UNRESOLVED_FUNCTIONAL_DEFICIT","PCHIP_SHAPE_PRESERVING","DIRECT_PLUS_MODEL","48","0.72","편심 운동은 즉시보다 24시간 전후 저하가 커질 수 있어 비단조 커널 사용."
"RCV_FUNC_ECCENTRIC_DELAYED","신규·고편심 지연성 기능저하","UNRESOLVED_FUNCTIONAL_DEFICIT","PCHIP_SHAPE_PRESERVING","DIRECT_PLUS_MODEL","72","0.36","편심 운동은 즉시보다 24시간 전후 저하가 커질 수 있어 비단조 커널 사용."
"RCV_FUNC_ECCENTRIC_DELAYED","신규·고편심 지연성 기능저하","UNRESOLVED_FUNCTIONAL_DEFICIT","PCHIP_SHAPE_PRESERVING","DIRECT_PLUS_MODEL","96","0.12","편심 운동은 즉시보다 24시간 전후 저하가 커질 수 있어 비단조 커널 사용."
"RCV_FUNC_ECCENTRIC_DELAYED","신규·고편심 지연성 기능저하","UNRESOLVED_FUNCTIONAL_DEFICIT","PCHIP_SHAPE_PRESERVING","DIRECT_PLUS_MODEL","120","0","편심 운동은 즉시보다 24시간 전후 저하가 커질 수 있어 비단조 커널 사용."
"RCV_FUNC_BALLISTIC_POWER","탄도성 파워","UNRESOLVED_FUNCTIONAL_DEFICIT","PCHIP_MONOTONE","DIRECT_PLUS_PROXY","0","1","점프·스프린트·파워 세션의 24–72시간 신경근 회복 자료."
"RCV_FUNC_BALLISTIC_POWER","탄도성 파워","UNRESOLVED_FUNCTIONAL_DEFICIT","PCHIP_MONOTONE","DIRECT_PLUS_PROXY","6","0.66","점프·스프린트·파워 세션의 24–72시간 신경근 회복 자료."
"RCV_FUNC_BALLISTIC_POWER","탄도성 파워","UNRESOLVED_FUNCTIONAL_DEFICIT","PCHIP_MONOTONE","DIRECT_PLUS_PROXY","24","0.36","점프·스프린트·파워 세션의 24–72시간 신경근 회복 자료."
"RCV_FUNC_BALLISTIC_POWER","탄도성 파워","UNRESOLVED_FUNCTIONAL_DEFICIT","PCHIP_MONOTONE","DIRECT_PLUS_PROXY","48","0.1","점프·스프린트·파워 세션의 24–72시간 신경근 회복 자료."
"RCV_FUNC_BALLISTIC_POWER","탄도성 파워","UNRESOLVED_FUNCTIONAL_DEFICIT","PCHIP_MONOTONE","DIRECT_PLUS_PROXY","72","0","점프·스프린트·파워 세션의 24–72시간 신경근 회복 자료."
"RCV_FUNC_HIGH_IMPACT_PLYO","고충격 플라이오","UNRESOLVED_FUNCTIONAL_DEFICIT","PCHIP_MONOTONE","DIRECT_PLUS_MODEL","0","1","고량 플라이오 후 점프·염증 반응이 48–72시간 이상 지속될 수 있음."
"RCV_FUNC_HIGH_IMPACT_PLYO","고충격 플라이오","UNRESOLVED_FUNCTIONAL_DEFICIT","PCHIP_MONOTONE","DIRECT_PLUS_MODEL","12","0.86","고량 플라이오 후 점프·염증 반응이 48–72시간 이상 지속될 수 있음."
"RCV_FUNC_HIGH_IMPACT_PLYO","고충격 플라이오","UNRESOLVED_FUNCTIONAL_DEFICIT","PCHIP_MONOTONE","DIRECT_PLUS_MODEL","24","0.7","고량 플라이오 후 점프·염증 반응이 48–72시간 이상 지속될 수 있음."
"RCV_FUNC_HIGH_IMPACT_PLYO","고충격 플라이오","UNRESOLVED_FUNCTIONAL_DEFICIT","PCHIP_MONOTONE","DIRECT_PLUS_MODEL","48","0.34","고량 플라이오 후 점프·염증 반응이 48–72시간 이상 지속될 수 있음."
"RCV_FUNC_HIGH_IMPACT_PLYO","고충격 플라이오","UNRESOLVED_FUNCTIONAL_DEFICIT","PCHIP_MONOTONE","DIRECT_PLUS_MODEL","72","0.1","고량 플라이오 후 점프·염증 반응이 48–72시간 이상 지속될 수 있음."
"RCV_FUNC_HIGH_IMPACT_PLYO","고충격 플라이오","UNRESOLVED_FUNCTIONAL_DEFICIT","PCHIP_MONOTONE","DIRECT_PLUS_MODEL","96","0","고량 플라이오 후 점프·염증 반응이 48–72시간 이상 지속될 수 있음."
"RCV_FUNC_ENDURANCE_SHORT","저·중강도 순환 지구력","UNRESOLVED_FUNCTIONAL_DEFICIT","PCHIP_MONOTONE","CLASS_PROXY","0","1","충격이 낮은 유산소·기술 세션의 기능피로 prior."
"RCV_FUNC_ENDURANCE_SHORT","저·중강도 순환 지구력","UNRESOLVED_FUNCTIONAL_DEFICIT","PCHIP_MONOTONE","CLASS_PROXY","2","0.55","충격이 낮은 유산소·기술 세션의 기능피로 prior."
"RCV_FUNC_ENDURANCE_SHORT","저·중강도 순환 지구력","UNRESOLVED_FUNCTIONAL_DEFICIT","PCHIP_MONOTONE","CLASS_PROXY","6","0.24","충격이 낮은 유산소·기술 세션의 기능피로 prior."
"RCV_FUNC_ENDURANCE_SHORT","저·중강도 순환 지구력","UNRESOLVED_FUNCTIONAL_DEFICIT","PCHIP_MONOTONE","CLASS_PROXY","12","0.08","충격이 낮은 유산소·기술 세션의 기능피로 prior."
"RCV_FUNC_ENDURANCE_SHORT","저·중강도 순환 지구력","UNRESOLVED_FUNCTIONAL_DEFICIT","PCHIP_MONOTONE","CLASS_PROXY","24","0","충격이 낮은 유산소·기술 세션의 기능피로 prior."
"RCV_FUNC_ENDURANCE_HARD","고강도 인터벌·경기 지구력","UNRESOLVED_FUNCTIONAL_DEFICIT","PCHIP_MONOTONE","SPORT_FUNCTIONAL_PROXY","0","1","반복질주·경기형 고강도 세션의 전신/국소 기능회복 prior."
"RCV_FUNC_ENDURANCE_HARD","고강도 인터벌·경기 지구력","UNRESOLVED_FUNCTIONAL_DEFICIT","PCHIP_MONOTONE","SPORT_FUNCTIONAL_PROXY","6","0.7","반복질주·경기형 고강도 세션의 전신/국소 기능회복 prior."
"RCV_FUNC_ENDURANCE_HARD","고강도 인터벌·경기 지구력","UNRESOLVED_FUNCTIONAL_DEFICIT","PCHIP_MONOTONE","SPORT_FUNCTIONAL_PROXY","24","0.42","반복질주·경기형 고강도 세션의 전신/국소 기능회복 prior."
"RCV_FUNC_ENDURANCE_HARD","고강도 인터벌·경기 지구력","UNRESOLVED_FUNCTIONAL_DEFICIT","PCHIP_MONOTONE","SPORT_FUNCTIONAL_PROXY","48","0.14","반복질주·경기형 고강도 세션의 전신/국소 기능회복 prior."
"RCV_FUNC_ENDURANCE_HARD","고강도 인터벌·경기 지구력","UNRESOLVED_FUNCTIONAL_DEFICIT","PCHIP_MONOTONE","SPORT_FUNCTIONAL_PROXY","72","0.02","반복질주·경기형 고강도 세션의 전신/국소 기능회복 prior."
"RCV_FUNC_ENDURANCE_HARD","고강도 인터벌·경기 지구력","UNRESOLVED_FUNCTIONAL_DEFICIT","PCHIP_MONOTONE","SPORT_FUNCTIONAL_PROXY","84","0","반복질주·경기형 고강도 세션의 전신/국소 기능회복 prior."
"RCV_JOINT_PROTECTION_SHORT","짧은 관절보호 기능저하","UNRESOLVED_JOINT_PROTECTION_DEFICIT","PCHIP_MONOTONE","FUNCTIONAL_PROXY","0","1","통제된 운동 후 고유감각·동적 안정화의 짧은 잔여 prior."
"RCV_JOINT_PROTECTION_SHORT","짧은 관절보호 기능저하","UNRESOLVED_JOINT_PROTECTION_DEFICIT","PCHIP_MONOTONE","FUNCTIONAL_PROXY","2","0.48","통제된 운동 후 고유감각·동적 안정화의 짧은 잔여 prior."
"RCV_JOINT_PROTECTION_SHORT","짧은 관절보호 기능저하","UNRESOLVED_JOINT_PROTECTION_DEFICIT","PCHIP_MONOTONE","FUNCTIONAL_PROXY","6","0.2","통제된 운동 후 고유감각·동적 안정화의 짧은 잔여 prior."
"RCV_JOINT_PROTECTION_SHORT","짧은 관절보호 기능저하","UNRESOLVED_JOINT_PROTECTION_DEFICIT","PCHIP_MONOTONE","FUNCTIONAL_PROXY","12","0.06","통제된 운동 후 고유감각·동적 안정화의 짧은 잔여 prior."
"RCV_JOINT_PROTECTION_SHORT","짧은 관절보호 기능저하","UNRESOLVED_JOINT_PROTECTION_DEFICIT","PCHIP_MONOTONE","FUNCTIONAL_PROXY","24","0","통제된 운동 후 고유감각·동적 안정화의 짧은 잔여 prior."
"RCV_JOINT_PROTECTION_COD","방향전환·감속 관절보호","UNRESOLVED_JOINT_PROTECTION_DEFICIT","PCHIP_MONOTONE","DIRECT_PLUS_SPORT_PROXY","0","1","간헐운동 무릎 이완성 및 배드민턴 피로 후 착지·발목 제어 변화."
"RCV_JOINT_PROTECTION_COD","방향전환·감속 관절보호","UNRESOLVED_JOINT_PROTECTION_DEFICIT","PCHIP_MONOTONE","DIRECT_PLUS_SPORT_PROXY","6","0.66","간헐운동 무릎 이완성 및 배드민턴 피로 후 착지·발목 제어 변화."
"RCV_JOINT_PROTECTION_COD","방향전환·감속 관절보호","UNRESOLVED_JOINT_PROTECTION_DEFICIT","PCHIP_MONOTONE","DIRECT_PLUS_SPORT_PROXY","24","0.32","간헐운동 무릎 이완성 및 배드민턴 피로 후 착지·발목 제어 변화."
"RCV_JOINT_PROTECTION_COD","방향전환·감속 관절보호","UNRESOLVED_JOINT_PROTECTION_DEFICIT","PCHIP_MONOTONE","DIRECT_PLUS_SPORT_PROXY","48","0.08","간헐운동 무릎 이완성 및 배드민턴 피로 후 착지·발목 제어 변화."
