"exerciseName","stableKey","movementFamily","movementSubtype","programSlot","backfillDecision","decisionBasis","decisionReason","missingStressFieldsBefore","changedStressFields","missingStressFieldsAfter","primaryStressProfile","recoveryDecayProfile","stressMagnitudeHint","safeForSeedMutation"
"스트레이트암 풀다운","ex_ca5cce66","LAT_STRAIGHT_ARM_PULLDOWN_OR_PULLOVER_ACCESSORY","STRAIGHT_ARM_PULLDOWN","LAT_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+proposedFatigueProfile","Ordinary isolation/accessory family with conservative local stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","ISOLATION_ACCESSORY_STRESS","SHORT","LOW","NO"
"스파이더 컬","ex_516f4456","ELBOW_FLEXION_BICEPS_CURL_VARIANTS","SPIDER_CURL","BICEPS_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+proposedFatigueProfile","Ordinary isolation/accessory family with conservative local stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","ISOLATION_ACCESSORY_STRESS","SHORT","LOW","NO"
"싱글 레그 레그 익스텐션","ex_d60745b4","KNEE_EXTENSION_QUAD_ISOLATION","SINGLE_LEG_LEG_EXTENSION","QUAD_ISOLATION_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+proposedFatigueProfile","Ordinary isolation/accessory family with conservative local stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","ISOLATION_ACCESSORY_STRESS","SHORT","LOW","NO"
"싱글 레그 레그 컬","ex_8824026f","HAMSTRING_CURL_VARIANTS","","HAMSTRING_ISOLATION_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+proposedFatigueProfile","Ordinary isolation/accessory family with conservative local stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","ISOLATION_ACCESSORY_STRESS","SHORT","LOW","NO"
"아놀드 프레스","ex_767e188e","OVERHEAD_PRESS_VARIANTS","ARNOLD_PRESS","OVERHEAD_PUSH_STRENGTH_OR_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+movementSubtype","Overhead push family; stability detail stays in secondary tags.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","OVERHEAD_PUSH_STRESS","MEDIUM","MODERATE","NO"
"아처 푸시업","ex_73b0b63f","PUSH_UP_VARIANTS","ARCHER_PUSH_UP","UPPER_PUSH_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily","Bodyweight horizontal-push family.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","BODYWEIGHT_PUSH_STRESS","SHORT","LOW","NO"
"오버헤드 프레스","ex_32219f7a","OVERHEAD_PRESS_VARIANTS","BARBELL_OVERHEAD_PRESS","OVERHEAD_PUSH_STRENGTH_OR_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+movementSubtype","Overhead push family; stability detail stays in secondary tags.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","OVERHEAD_PUSH_STRESS","MEDIUM","MODERATE","NO"
"원레그 레그 프레스","ex_a091b9fe","LEG_PRESS_KNEE_DOMINANT_MACHINE_VARIANTS","","MACHINE_LOWER_BODY_STRENGTH","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily","Machine knee-dominant lower-body stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","MACHINE_LOWER_BODY_STRESS","MEDIUM","MODERATE","NO"
"원암 덤벨 RDL","ex_e0b1e364","DEADLIFT_HINGE_VARIANTS","ONE_ARM_DUMBBELL_RDL","UNILATERAL_HINGE_ACCESSORY","DERIVED_FROM_PROGRAM_SLOT","programSlot+movementSubtype","Unilateral/accessory hinge prioritizes stability rather than heavy-hinge recovery.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","UNILATERAL_LOWER_STABILITY_STRESS","MEDIUM","MODERATE","NO"
"원암 덤벨 벤치프레스","ex_389e0556","BENCH_PRESS_DUMBBELL_PRESS_MACHINE_PRESS_VARIANTS","ONE_ARM_DUMBBELL_BENCH_PRESS","UNILATERAL_UPPER_PUSH","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+programSlot","Horizontal press family with conservative upper-push stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","HORIZONTAL_PUSH_STRESS","MEDIUM","MODERATE","NO"
"원암 덤벨 숄더프레스","ex_7814843a","OVERHEAD_PRESS_VARIANTS","ONE_ARM_OVERHEAD_PRESS","OVERHEAD_PUSH_STRENGTH_OR_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+movementSubtype","Overhead push family; stability detail stays in secondary tags.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","OVERHEAD_PUSH_STRESS","MEDIUM","MODERATE","NO"
"원암 덤벨 컬","ex_85b2ac56","ELBOW_FLEXION_BICEPS_CURL_VARIANTS","ONE_ARM_DUMBBELL_CURL","BICEPS_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+proposedFatigueProfile","Ordinary isolation/accessory family with conservative local stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","ISOLATION_ACCESSORY_STRESS","SHORT","LOW","NO"
"원암 리어델트 케이블 플라이","ex_a60496be","REAR_DELT_FLY_HORIZONTAL_ABDUCTION_VARIANTS","ONE_ARM_REAR_DELT_CABLE_FLY","REAR_DELT_SCAPULAR_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+proposedFatigueProfile","Ordinary isolation/accessory family with conservative local stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","ISOLATION_ACCESSORY_STRESS","SHORT","LOW","NO"
"원암 스트레이트암 풀다운","ex_c365e5e2","LAT_STRAIGHT_ARM_PULLDOWN_OR_PULLOVER_ACCESSORY","ONE_ARM_STRAIGHT_ARM_PULLDOWN","LAT_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+proposedFatigueProfile","Ordinary isolation/accessory family with conservative local stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","ISOLATION_ACCESSORY_STRESS","SHORT","LOW","NO"
"원암 인클라인 덤벨 프레스","ex_9f283612","BENCH_PRESS_DUMBBELL_PRESS_MACHINE_PRESS_VARIANTS","ONE_ARM_INCLINE_DUMBBELL_PRESS","UNILATERAL_UPPER_PUSH","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+programSlot","Horizontal press family with conservative upper-push stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","HORIZONTAL_PUSH_STRESS","MEDIUM","MODERATE","NO"
"원암 케이블 래터럴 레이즈","ex_b076570e","LATERAL_RAISE_DELTOID_ISOLATION_VARIANTS","ONE_ARM_CABLE_LATERAL_RAISE","SHOULDER_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+proposedFatigueProfile","Ordinary isolation/accessory family with conservative local stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","ISOLATION_ACCESSORY_STRESS","SHORT","LOW","NO"
"원암 케이블 숄더프레스","ex_c536edc2","OVERHEAD_PRESS_VARIANTS","ONE_ARM_OVERHEAD_PRESS","OVERHEAD_PUSH_STRENGTH_OR_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+movementSubtype","Overhead push family; stability detail stays in secondary tags.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","OVERHEAD_PUSH_STRESS","MEDIUM","MODERATE","NO"
"원암 케이블 컬","ex_3d5719de","ELBOW_FLEXION_BICEPS_CURL_VARIANTS","ONE_ARM_CABLE_CURL","BICEPS_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+proposedFatigueProfile","Ordinary isolation/accessory family with conservative local stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","ISOLATION_ACCESSORY_STRESS","SHORT","LOW","NO"
"원암 케이블 트라이셉스 푸시다운","ex_5322f2d1","ELBOW_EXTENSION_TRICEPS_ISOLATION_VARIANTS","ONE_ARM_TRICEPS_PUSHDOWN","TRICEPS_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+proposedFatigueProfile","Ordinary isolation/accessory family with conservative local stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","ISOLATION_ACCESSORY_STRESS","SHORT","LOW","NO"
"원암 케이블 플라이","ex_442617f6","CHEST_ISOLATION","","CHEST_ISOLATION_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+proposedFatigueProfile","Ordinary isolation/accessory family with conservative local stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","ISOLATION_ACCESSORY_STRESS","SHORT","LOW","NO"
"원암 해머 컬","ex_86323ed6","ELBOW_FLEXION_BRACHIALIS_BRACHIORADIALIS_VARIANTS","ONE_ARM_HAMMER_CURL","BRACHIALIS_FOREARM_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+proposedFatigueProfile","Ordinary isolation/accessory family with conservative local stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","ISOLATION_ACCESSORY_STRESS","SHORT","LOW","NO"
"월싯","ex_64661229","KNEE_DOMINANT_ISOMETRIC","WALL_SIT","LOWER_BODY_ISOMETRIC_ACCESSORY","DERIVED_FROM_PROGRAM_SLOT","programSlot+movementSubtype","Wall-sit isometric accessory is conservatively treated as low-load control.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","LOW_LOAD_PREHAB_CONTROL_STRESS","SHORT","LOW","NO"
"인클라인 덤벨 컬","ex_d5048362","ELBOW_FLEXION_BICEPS_CURL_VARIANTS","INCLINE_DUMBBELL_CURL","BICEPS_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+proposedFatigueProfile","Ordinary isolation/accessory family with conservative local stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","ISOLATION_ACCESSORY_STRESS","SHORT","LOW","NO"
"인클라인 덤벨 프레스","ex_a61f1e96","BENCH_PRESS_DUMBBELL_PRESS_MACHINE_PRESS_VARIANTS","INCLINE_DUMBBELL_PRESS","HORIZONTAL_PUSH_STRENGTH_OR_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+programSlot","Horizontal press family with conservative upper-push stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","HORIZONTAL_PUSH_STRESS","MEDIUM","MODERATE","NO"
"인클라인 덤벨 플라이","ex_a61f307a","CHEST_ISOLATION","","CHEST_ISOLATION_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+proposedFatigueProfile","Ordinary isolation/accessory family with conservative local stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","ISOLATION_ACCESSORY_STRESS","SHORT","LOW","NO"
"캡틴체어 레그 레이즈","ex_a345e30b","CORE_FLEXION_ANTERIOR_CORE","CAPTAINS_CHAIR_LEG_RAISE","CORE_FLEXION_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+programSlot","Dynamic anterior-core/conditioning pattern.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","DYNAMIC_CORE_FLEXION_STRESS","SHORT","MODERATE","NO"
"컨센트레이션 컬","ex_c62c0716","ELBOW_FLEXION_BICEPS_CURL_VARIANTS","CONCENTRATION_CURL","BICEPS_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+proposedFatigueProfile","Ordinary isolation/accessory family with conservative local stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","ISOLATION_ACCESSORY_STRESS","SHORT","LOW","NO"
"케이블 래터럴 레이즈","ex_b76d3f92","LATERAL_RAISE_DELTOID_ISOLATION_VARIANTS","CABLE_LATERAL_RAISE","SHOULDER_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+proposedFatigueProfile","Ordinary isolation/accessory family with conservative local stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","ISOLATION_ACCESSORY_STRESS","SHORT","LOW","NO"
"케이블 원암 트라이셉스 익스텐션","ex_eb636bac","ELBOW_EXTENSION_TRICEPS_ISOLATION_VARIANTS","CABLE_ONE_ARM_TRICEPS_EXTENSION","TRICEPS_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+proposedFatigueProfile","Ordinary isolation/accessory family with conservative local stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","ISOLATION_ACCESSORY_STRESS","SHORT","LOW","NO"
"케이블 컬","ex_e709eeda","ELBOW_FLEXION_BICEPS_CURL_VARIANTS","CABLE_CURL","BICEPS_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+proposedFatigueProfile","Ordinary isolation/accessory family with conservative local stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","ISOLATION_ACCESSORY_STRESS","SHORT","LOW","NO"
"케이블 킥백","ex_fa34ddfe","GLUTE_ISOLATION_ACCESSORY","CABLE_KICKBACK","GLUTE_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+proposedFatigueProfile","Ordinary isolation/accessory family with conservative local stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","ISOLATION_ACCESSORY_STRESS","SHORT","LOW","NO"
"케이블 풀스루","ex_4c76dbb2","DEADLIFT_HINGE_VARIANTS","CABLE_PULL_THROUGH","POSTERIOR_CHAIN_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+programSlot","Posterior-chain accessory hinge.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","HINGE_POSTERIOR_CHAIN_STRESS","MEDIUM","MODERATE","NO"
"케이블 플라이","ex_4c779df2","CHEST_ISOLATION","","CHEST_ISOLATION_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+proposedFatigueProfile","Ordinary isolation/accessory family with conservative local stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","ISOLATION_ACCESSORY_STRESS","SHORT","LOW","NO"
"크로스바디 해머 컬","ex_b69ab702","ELBOW_FLEXION_BRACHIALIS_BRACHIORADIALIS_VARIANTS","CROSS_BODY_HAMMER_CURL","BRACHIALIS_FOREARM_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+proposedFatigueProfile","Ordinary isolation/accessory family with conservative local stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","ISOLATION_ACCESSORY_STRESS","SHORT","LOW","NO"
"클로즈그립 벤치프레스","ex_27b3deb5","BENCH_PRESS_DUMBBELL_PRESS_MACHINE_PRESS_VARIANTS","CLOSE_GRIP_BENCH_PRESS_TRICEPS_EMPHASIS","TRICEPS_EMPHASIS_COMPOUND_PUSH","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+programSlot","Horizontal press family with conservative upper-push stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","HORIZONTAL_PUSH_STRESS","MEDIUM","MODERATE","NO"
"킥스탠스 RDL","ex_885b629","DEADLIFT_HINGE_VARIANTS","KICKSTAND_RDL","UNILATERAL_HINGE_ACCESSORY","DERIVED_FROM_PROGRAM_SLOT","programSlot+movementSubtype","Unilateral/accessory hinge prioritizes stability rather than heavy-hinge recovery.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","UNILATERAL_LOWER_STABILITY_STRESS","MEDIUM","MODERATE","NO"
